Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
11.0,Jacob Trouba,28.0,D,82,8,22,30,7,63,5,2,1,2,18,3,1,199,4.0,1738.0,21:12,1.5,4.3,5.8,196,218,0,1,0.0
14.0,Braden Schneider,21.0,D,81,5,13,18,9,16,5,0,0,1,13,0,0,79,6.3,1273.0,15:43,0.6,3.4,4.1,130,147,0,0,
3.0,Adam Fox,24.0,D,82,12,60,72,28,34,11,1,0,5,29,28,3,159,7.5,1999.0,24:23,5.5,6.4,11.9,125,25,0,0,
7.0,K'Andre Miller,23.0,D,79,9,34,43,12,37,9,0,0,2,29,3,2,113,8.0,1734.0,21:57,2.8,4.7,7.5,105,162,0,0,
15.0,Ryan Lindgren,24.0,D,63,1,17,18,29,45,0,0,1,0,16,0,1,75,1.3,1187.0,18:50,0.3,4.7,5.1,92,68,0,0,
10.0,Barclay Goodrow,29.0,RW,82,11,20,31,3,58,10,1,0,2,18,1,1,89,12.4,1162.0,14:10,0.7,1.5,2.2,64,122,272,321,45.9
20.0,Ben Harpur,28.0,D,42,1,5,6,0,20,1,0,0,0,5,0,0,34,2.9,591.0,14:04,-0.1,1.3,1.2,57,63,0,0,
2.0,Mika Zibanejad,29.0,C,82,39,52,91,25,20,18,20,1,5,32,19,1,251,15.5,1637.0,19:58,7.8,2.8,10.6,48,71,692,706,49.5
4.0,Vincent Trocheck,29.0,C,82,22,42,64,3,58,13,9,0,3,34,8,0,225,9.8,1584.0,19:19,3.7,2.0,5.7,44,182,721,565,56.1
12.0,Jimmy Vesey,29.0,LW,81,11,14,25,13,20,10,0,1,4,14,0,0,123,8.9,1102.0,13:37,0.3,1.8,2.1,40,98,4,14,22.2
6.0,Filip Chytil,23.0,C,74,22,23,45,15,30,19,3,0,4,21,2,0,177,12.4,1087.0,14:41,3.3,1.8,5.2,38,36,251,380,39.8
23.0,Niko Mikkola,26.0,D,31,1,2,3,4,23,1,0,0,0,2,0,0,31,3.2,580.0,18:42,-0.3,1.6,1.2,38,55,0,0,
9.0,Alexis Lafrenière,21.0,LW,81,16,23,39,10,33,13,3,0,2,22,1,0,135,11.9,1233.0,15:13,1.8,1.8,3.6,28,141,28,48,36.8
8.0,Kaapo Kakko,21.0,RW,82,18,22,40,12,8,18,0,0,2,19,3,0,125,14.4,1255.0,15:18,2.0,1.9,3.9,27,26,1,3,25.0
5.0,Chris Kreider,31.0,LW,79,36,18,54,21,26,24,8,4,3,9,9,0,229,15.7,1455.0,18:25,4.5,2.5,7.0,24,128,38,46,45.2
13.0,Vladimir Tarasenko,31.0,RW,31,8,13,21,4,0,7,1,0,1,9,4,0,66,12.1,494.0,15:55,1.4,0.7,2.1,21,31,0,0,
26.0,Libor Hájek,24.0,D,16,1,0,1,2,4,1,0,0,0,0,0,0,13,7.7,212.0,13:16,-0.1,0.6,0.5,20,17,0,0,
17.0,Tyler Motte,27.0,C,24,5,5,10,2,2,5,0,0,1,5,0,0,44,11.4,266.0,11:04,0.7,0.4,1.1,17,30,2,1,66.7
21.0,Sammy Blais,26.0,LW,40,0,5,5,1,8,0,0,0,0,5,0,0,31,0.0,385.0,9:38,-0.6,0.5,-0.1,16,119,1,5,16.7
25.0,Zachary Jones,22.0,D,16,1,1,2,-2,4,1,0,0,1,1,0,0,15,6.7,250.0,15:37,0.0,0.4,0.4,16,5,0,0,
22.0,Ryan Carpenter,32.0,C,22,1,2,3,-5,10,1,0,0,0,2,0,0,17,5.9,202.0,9:11,-0.2,0.1,-0.1,11,35,67,57,54.0
1.0,Artemi Panarin,31.0,LW,82,29,63,92,4,36,20,9,0,4,36,27,0,204,14.2,1608.0,19:36,7.0,2.1,9.1,11,26,6,13,31.6
16.0,Patrick Kane,34.0,RW,19,5,7,12,1,6,3,2,0,1,5,2,0,45,11.1,332.0,17:29,0.7,0.4,1.1,9,3,0,1,0.0
19.0,Vitali Kravtsov,23.0,RW,28,3,3,6,6,6,3,0,0,0,2,1,0,26,11.5,320.0,11:25,0.0,0.6,0.6,8,11,0,3,0.0
18.0,Julien Gauthier,25.0,RW,40,6,3,9,-5,4,6,0,0,0,3,0,0,36,16.7,334.0,8:21,0.5,0.2,0.7,7,70,3,5,37.5
24.0,Jonny Brodzinski,29.0,C,17,1,1,2,3,8,1,0,0,0,1,0,0,27,3.7,158.0,9:19,-0.2,0.3,0.1,4,9,51,45,53.1
32.0,Ryan Reaves,36.0,RW,12,0,0,0,-5,12,0,0,0,0,0,0,0,3,0.0,101.0,8:27,-0.3,-0.1,-0.3,4,44,2,4,33.3
31.0,Jake Leschyshyn,23.0,C,13,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,108.0,8:21,-0.3,0.0,-0.3,3,17,44,46,48.9
27.0,Dryden Hunt,27.0,LW,3,1,0,1,-1,2,1,0,0,0,0,0,0,2,50.0,26.0,8:49,0.1,0.0,0.1,2,11,0,0,
28.0,Jaroslav Halák,37.0,G,25,0,1,1,0,0,0,0,0,0,1,0,0,0,,1454.0,58:09,0.0,0.0,3.8,0,0,0,0,
