Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
6.0,Moritz Seider,21.0,D,82,5,37,42,-11,40,3,1,1,1,22,14,1,140,3.6,1898.0,23:09,2.2,3.9,6.1,190,207,0,0,
14.0,Ben Chiarot,31.0,D,76,5,14,19,-31,51,5,0,0,0,14,0,0,110,4.5,1566.0,20:37,0.4,1.6,2.0,163,147,0,0,
11.0,Olli Määttä,28.0,D,78,6,17,23,-9,14,6,0,0,0,17,0,0,62,9.7,1459.0,18:42,1.0,3.0,3.9,128,78,0,0,
15.0,Jake Walman,26.0,D,63,9,9,18,10,45,9,0,0,2,7,2,0,140,6.4,1242.0,19:43,1.1,3.8,4.9,121,47,0,0,
19.0,Jordan Oesterle,30.0,D,52,2,9,11,-9,19,2,0,0,0,9,0,0,54,3.7,814.0,15:39,0.2,1.4,1.6,68,41,0,0,
16.0,Adam Erne,27.0,LW,61,8,10,18,-12,21,8,0,0,2,9,0,1,55,14.5,816.0,13:23,0.2,0.6,0.8,55,160,12,14,46.2
7.0,Filip Hronek,25.0,D,60,9,29,38,8,34,5,4,0,1,17,12,0,122,7.4,1292.0,21:32,2.9,3.8,6.7,54,97,0,0,
8.0,Michael Rasmussen,23.0,C,56,10,19,29,2,43,10,0,0,0,18,1,0,88,11.4,845.0,15:05,1.4,1.1,2.5,48,119,203,195,51.0
24.0,Robert Hägg,27.0,D,38,2,5,7,-5,26,2,0,0,0,5,0,0,40,5.0,590.0,15:31,0.1,1.1,1.2,47,111,0,0,
5.0,Andrew Copp,28.0,C,82,9,33,42,2,25,7,1,1,2,29,4,0,120,7.5,1489.0,18:09,0.7,2.0,2.7,45,32,647,652,49.8
13.0,Joe Veleno,23.0,C,81,9,11,20,-12,30,8,1,0,1,8,3,0,85,10.6,1035.0,12:47,-0.1,0.9,0.8,44,152,277,374,42.5
10.0,Pius Suter,26.0,F,79,14,10,24,-3,6,12,0,2,1,10,0,0,106,13.2,1111.0,14:04,0.5,1.3,1.8,37,39,214,243,46.8
22.0,Gustav Lindström,24.0,D,36,1,7,8,-16,20,1,0,0,0,7,0,0,18,5.6,510.0,14:10,0.2,0.1,0.3,34,39,0,0,
9.0,Jonatan Berggren,22.0,RW,67,15,13,28,-14,16,10,5,0,0,9,4,0,98,15.3,902.0,13:28,1.6,0.6,2.2,28,20,3,3,50.0
1.0,Dylan Larkin,26.0,C,80,32,47,79,-7,45,15,16,1,5,32,15,0,244,13.1,1564.0,19:33,6.3,1.7,8.0,27,47,737,618,54.4
3.0,Dominik Kubalík,27.0,LW,81,20,25,45,-15,24,13,7,0,3,15,10,0,174,11.5,1208.0,14:55,2.8,1.0,3.8,26,89,17,18,48.6
12.0,Oskar Sundqvist,28.0,C,52,7,14,21,-4,20,5,2,0,0,9,5,0,59,11.9,742.0,14:16,0.6,0.8,1.4,25,42,25,35,41.7
